title,year,director,genre,synopsis,cover_url,copies_total,copies_available,rental_price,is_active,notes
CITIZEN KANE,,,"AWARD WINNER, CLASSIC",,,1,1,3.00,true,Format: DVD
CITIZENFOUR,,,"AWARD WINNER, DOCUMENTARY",,,1,1,3.00,true,Format: BLU-RAY
CITY LIGHTS,,,CLASSIC,,,1,1,3.00,true,Format: DVD
CITY OF LOST CHILDREN THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CLASS THE - FRENCH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
"CLEAN, SHAVEN",,,CRITERION,,,1,1,3.00,true,Format: DVD
CLOCKWORK ORANGE A,,,CULT CLASSICS,,,1,1,3.00,true,Format: DVD | Keywords: KUBRICK
CLOSE-UP - PERSIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
CLOSET THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CLUE,,,CULT CLASSICS,,,1,1,3.00,true,Format: DVD
COAL MINER'S DAUGHTER,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
COCO BEFORE CHANEL - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
COCO CHANEL & IGOR STRAVINSKY - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CODE THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
CODE UNKNOWN - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
COLOR OF MONEY THE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
COLOSSAL YOUTH - PORTUGESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
COLT IS MY PASSPORT A - JAPANESE,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
COME BACK LITTLE SHEBA,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
COME ON CHILDREN,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
